req_id,title,text,type,subsystem,priority,verification_method,status,parent_req,source
MR-001,Science Objective — Volatile Detection,"LPAS shall detect and characterize volatile species (H2O, CO2, CH4, SO2) in lunar south pole PSR regolith to a depth of 1 m.",Functional,Mission,1,Test,Allocated,,NASA SLS-10439 Science Requirements
MR-002,Science Objective — Regolith Sampling,"LPAS shall collect and analyze regolith samples from PSR terrain at a minimum of 3 distinct locations within the primary landing ellipse.",Functional,Mission,1,Test,Allocated,,NASA SLS-10439 Science Requirements
MR-003,Mission Duration,"LPAS shall operate continuously for a minimum of 14 Earth days from first surface contact.",Performance,Mission,1,Test,Allocated,,NASA HEOMD Mission Manifest Rev 3
MR-004,Landing Site,"LPAS shall be capable of operating within 5 km of Shackleton crater rim (89.9°S 0°E) in permanently shadowed and partially illuminated terrain.",Constraint,Mission,1,Analysis,Allocated,,NASA HEOMD Mission Manifest Rev 3
MR-005,Traverse Distance,"LPAS shall traverse a cumulative distance of not less than 500 m during the primary mission phase.",Performance,Mission,1,Test,Allocated,,NASA SLS-10439 Science Requirements
MR-006,Data Volume,"LPAS shall return a minimum of 2 Gb of science and engineering data to Earth via LRO relay during the primary mission.",Performance,Mission,1,Analysis,Allocated,,NASA SLS-10439 Science Requirements
MR-007,Science Temporal Coverage,"LPAS should acquire science measurements during at least 2 separate PSR ingress events separated by not less than 72 h.",Performance,Mission,2,Analysis,Allocated,,NASA SLS-10439 Science Requirements
MR-008,Hazard Avoidance,"LPAS shall not contact rocks larger than 20 cm diameter or enter slopes exceeding 15° during autonomous traverse.",Functional,Mission,1,Demonstration,Allocated,,NASA JPL Autonomy Standards Rev 2
MR-009,Mission Cost Constraint,"LPAS total mission cost shall not exceed $180M FY2025 USD at 70% confidence.",Constraint,Mission,1,Inspection,Allocated,,NASA HEOMD Mission Manifest Rev 3
MR-010,Launch Vehicle Compatibility,"LPAS integrated system (rover + lander interface) shall be compatible with Falcon 9 rideshare envelope and load environments.",Constraint,Mission,1,Analysis,Allocated,,SpaceX Rideshare User's Guide Rev 3.0
SR-001,Total System Mass,"LPAS rover dry mass shall not exceed 42 kg at CDR including all subsystems with 15% CBE margin maintained.",Performance,System,1,Inspection,Allocated,MR-010,LPAS-MECH-ICD-001
SR-002,Deployed Envelope,"LPAS rover deployed envelope shall not exceed 2.0 m × 1.5 m × 1.2 m (L×W×H) in operational configuration.",Constraint,System,1,Inspection,Allocated,MR-010,LPAS-MECH-ICD-001
SR-003,Stowed Envelope,"LPAS rover stowed envelope shall not exceed 0.9 m × 0.8 m × 0.6 m for lander integration.",Constraint,System,1,Inspection,Allocated,MR-010,SpaceX Rideshare User's Guide Rev 3.0
SR-004,Average Power — Science Mode,"LPAS shall sustain science operations at an average power consumption not exceeding 67 W CBE from the solar array and battery system.",Performance,System,1,Test,Allocated,MR-003,LPAS-ELEC-ICD-001
SR-005,Average Power — Traverse Mode,"LPAS shall traverse at an average power consumption not exceeding 40 W CBE.",Performance,System,1,Test,Allocated,MR-003,LPAS-ELEC-ICD-001
SR-006,Eclipse Survival Power,"LPAS shall survive eclipse periods up to 2.88 h duration at a heater-only power draw not exceeding 52 W from battery.",Performance,System,1,Analysis,Allocated,MR-003,LPAS-THERM-001
SR-007,Command Uplink Rate,"LPAS shall accept ground commands at a minimum uplink rate of 2 kbps via LRO UHF relay.",Performance,System,1,Test,Allocated,MR-006,LPAS-COMMS-ICD-001
SR-008,Telemetry Downlink Rate,"LPAS shall downlink engineering and science telemetry at a minimum of 256 kbps during LRO contact windows.",Performance,System,1,Test,Allocated,MR-006,LPAS-COMMS-ICD-001
SR-009,Autonomous Operation Duration,"LPAS shall operate fully autonomously (no ground commands required) for a minimum of 24 h while maintaining safe state.",Performance,System,1,Demonstration,Allocated,MR-008,NASA JPL Autonomy Standards Rev 2
SR-010,Software Update Capability,"LPAS flight software shall support in-flight parameter table updates and non-critical patch uploads via uplink.",Functional,System,1,Test,Allocated,,LPAS-SFW-ICD-001
SR-011,Fault Detection Recovery,"LPAS FDIR system shall detect any single-point fault within 10 s and transition to safe mode within 30 s.",Performance,System,1,Test,Allocated,MR-008,NASA-SP-6105
SR-012,Radiation Tolerance,"LPAS electronics shall withstand a total ionizing dose of 20 krad (Si) with no performance degradation, and 100 krad with no loss of function.",Performance,System,1,Analysis,Allocated,,NASA-HDBK-4002A
SR-013,Thermal Survival,"LPAS shall survive non-operating storage at internal temperatures between −40 °C and +70 °C.",Performance,System,1,Test,Allocated,MR-004,LPAS-THERM-001
SR-014,Vibration Qualification,"LPAS shall withstand launch vibration loads per Falcon 9 vibration environment (20–2000 Hz, 0.04 g²/Hz plateau) with no structural failure.",Constraint,System,1,Test,Allocated,MR-010,SpaceX Rideshare User's Guide Rev 3.0
SR-015,Shock Qualification,"LPAS shall withstand landing shock up to 50 g, 11 ms half-sine pulse without loss of function.",Constraint,System,1,Test,Allocated,MR-010,LPAS-STRUCT-ICD-001
SR-016,Electromagnetic Compatibility,"LPAS shall comply with NASA-STD-4005 for radiated and conducted emissions to prevent self-interference between subsystems.",Constraint,System,1,Test,Allocated,,NASA-STD-4005
SR-017,Contamination Control,"LPAS volatile-sensitive surfaces and science instruments shall be maintained at cleanliness level 500A (MIL-STD-1246C) prior to launch.",Constraint,System,1,Inspection,Allocated,MR-001,MIL-STD-1246C
SR-018,Lander Interface — Mechanical,"LPAS shall interface with the lander via 4-point kinematic mount with 50 mm bolt circle diameter using M12 stainless fasteners.",Interface,System,1,Inspection,Allocated,MR-010,LPAS-MECH-ICD-001
SR-019,Lander Interface — Electrical,"LPAS shall accept 28 VDC ± 4 V from lander umbilical during pre-deployment checkout, minimum 10 A.",Interface,System,1,Test,Allocated,,LPAS-ELEC-ICD-001
SR-020,Software Architecture,"LPAS flight software shall be implemented as ROS2 Humble lifecycle nodes on a POSIX-compliant RTOS; all inter-node communication via ROS2 topics and services using defined QoS profiles.",Design,System,1,Inspection,Allocated,,LPAS-SFW-ICD-001
MOB-001,Maximum Traverse Speed,"The mobility system shall achieve a maximum traverse speed of 0.5 m/s on slopes ≤ 5° in nominal regolith.",Performance,Mobility,1,Test,Derived,SR-005,LPAS-MECH-ICD-001
MOB-002,Obstacle Clearance Height,"The mobility system shall traverse obstacles up to 15 cm in height without wheel slip or chassis contact.",Performance,Mobility,1,Test,Derived,MR-008,LPAS-MECH-ICD-001
MOB-003,Maximum Traversable Slope,"The mobility system shall operate on slopes up to 15° without loss of traction under lunar gravitational acceleration (1.625 m/s²).",Performance,Mobility,1,Test,Derived,MR-008,LPAS-MECH-ICD-001
MOB-004,Wheel Diameter,"Each wheel shall have a diameter of not less than 250 mm to provide adequate ground clearance of 120 mm.",Design,Mobility,1,Inspection,Derived,MOB-002,LPAS-MECH-ICD-001
MOB-005,Wheel Count and Configuration,"The mobility system shall employ 4 wheels in a rocker-bogie or equivalent passive articulation configuration providing continuous contact on uneven terrain.",Design,Mobility,1,Inspection,Derived,MOB-003,LPAS-MECH-ICD-001
MOB-006,Turning Radius,"The mobility system shall achieve a turning radius of ≤ 0.8 m through differential steering or active steering on at least the front axle.",Performance,Mobility,1,Test,Derived,SR-009,LPAS-MECH-ICD-001
MOB-007,Drive Motor Torque,"Each drive motor shall provide a minimum stall torque of 4 N·m at the wheel shaft under 28 VDC nominal supply.",Performance,Mobility,1,Test,Derived,MOB-003,LPAS-MECH-ICD-001
